index	Dominant_Topic	Perc_Contribution	Topic_Keywords	0
20	23.0	0.501800000667572	ساعة, حركة, يومي, ماء, مباشرة, يوما, دفاع, نقل, خامسة, تجهيز	['أعلنت', 'وزارة', 'التجهيز', 'والنقل', 'واللوجستيك', 'والماء', 'أن', 'حركة', 'السير', 'بالطريق', 'الجهوية', 'رقم', 'الرابطة', 'بين', 'بومالن', '-', 'دادس', 'وامسمرير', 'بإقليم', 'تنغير', 'ستعرف', 'انقطاعات', 'مؤقتة', 'بشكل', 'يومي', 'ما', 'بين', 'الساعة', 'الثامنة', 'صباحا', 'والخامسة', 'زوالا', 'وذلك', 'ابتداء', 'من', 'يوليوز', 'الجاري', 'ولمدة', 'يوما']
21	36.0	0.23270000517368317	منطقة, مستوى, وحسب, أوتوماتيك, تسمى, بوليس, بتنبيه, لمسافة, جاكيت, ملابس	['وحسب', 'بلاغ', 'للوزارة', 'فإن', 'هذا', 'الانقطاعات', 'تعزا', 'لأشغال', 'التتريبات', 'بهذه', 'الطريق', 'بين', 'النقطتين', 'الكيلومتريتين', 'رقم', 'و', 'على', 'مستوى', 'منطقة', 'أوغيال']
22	1.0	0.5619999766349792	نسبة, طريق, وأوضح, وأضافت, نظرا, ممكن, يشكل, بديلة, مقابل, تحويل	['وأوضح', 'البلاغ', 'أن', 'تحويل', 'الاتجاه', 'محليا', 'غير', 'ممكن', 'نظرا', 'لصعوبة', 'التضاريس', 'بالمنطقة', 'مشيرا', 'بالمقابل', 'إلى', 'أن', 'تحويل', 'الاتجاه', 'إلى', 'تنغير', 'ممكن', 'عبر', 'المسارات', 'البديلة', 'المتمثلة', 'في', 'الطريق', 'الجهوية', 'رقم', 'بين', 'امسرير', 'وأكدال', 'على', 'طول', 'كلم', '(مسلك', 'غير', 'معبد)', 'والطريق', 'الوطنية', 'رقم', '(ط', 'ج', 'سابقا)', 'بين', 'أكدال', 'وتنغير', 'على', 'طول', 'كلم']
23	33.0	0.3896999955177307	معلوم, اتصال, مستقبل, أمم, إلكترونية, طرق, درجة, كافية, تتبع, حسن	['وأكدت', 'وزارة', 'التجهيز', 'والنقل', 'واللوجستيك', 'والماء', 'أنها', 'تظل', 'رهن', 'إشارة', 'المواطنين', 'ساعة', 'على', 'لتزويدهم', 'بالمعلومات', 'الكافية', 'حول', 'حالة', 'الطرق', 'وتدعوهم', 'إلى', 'تتبع', 'نشراتها', 'الإخبارية', 'التي', 'تعلنها', 'بصفة', 'مستمرة', 'عبر', 'بوابتها', 'الإلكترونية', '(', ')', 'أو', 'الاتصال', 'مباشرة', 'بمركز', 'الديمومة', 'التابع', 'لمديرية', 'الطرق', 'على', 'الرقم', 'الهاتفي']
24	11.0	0.311599999666214	جديدة, شركة, مقارنة, وأوضحت, تعا, لمدة, مجموع, نجاح, وطنية, جمعة	['بلغ', 'عدد', 'الناجحين', 'في', 'مجموع', 'الدورتين', 'العادية', 'والاستدراكية', 'لامتحانات', 'نيل', 'شهادة', 'البكالوريا', 'التي', 'عرفتها', 'مراكز', 'الامتحان', 'بمختلف', 'المؤسسات', 'السجنية', 'نزيلا', 'بزيادة', 'تقدر', 'بـ', 'في', 'المائة', 'مقارنة', 'مع', 'باكالوريا', 'وهو', 'ما', 'يعادل', 'نسبة', 'نجاح', 'تقدر', 'بـ', 'في', 'المائة', 'وأوضحت', 'المندوبية', 'العامة', 'لإدارة', 'السجون', 'وإعادة', 'الإدماج', 'في', 'بلاغ', 'لها', 'اليوم', 'الإثنين', 'أن', 'نسبة', 'النجاح', 'هاته', 'تفوق', 'النسبة', 'الوطنية', 'للناجحين', 'من', 'بين', 'المترشحين', 'الأحرار', 'والتي', 'بلغت', 'في', 'المائة', 'حسب', 'بلاغ', 'للوزارة', 'الوصية']
25	1.0	0.41200000047683716	نسبة, طريق, وأوضح, وأضافت, نظرا, ممكن, يشكل, بديلة, مقابل, تحويل	['وأضافت', 'أن', 'عدد', 'الناجحين', 'في', 'الدورة', 'الاستدراكية', 'بلغ', 'نزيلا', 'من', 'أصل', 'مترشحا', 'اجتازوا', 'هذه', 'الامتحانات', 'بمختلف', 'المؤسسات', 'السجنية', 'مما', 'يشكل', 'نسبة', 'نجاح', 'بلغت', 'في', 'المائة', 'وتابع', 'المصدر', 'ذاته', 'أن', 'عدد', 'الناجحين', 'بميزة', 'حسن', 'جدا', 'حسن', 'ومستحسن', 'بلغ', 'نزيلا', 'مما', 'يشكل', 'نسبة', 'تقدر', 'بـ', 'في', 'المائة', 'من', 'مجموع', 'الناجحين']
26	33.0	0.32109999656677246	معلوم, اتصال, مستقبل, أمم, إلكترونية, طرق, درجة, كافية, تتبع, حسن	"['اهتز', 'صباح', 'اليوم', 'الثلاثاء', 'يونيو', 'الجاري', 'سكان', ""دوار''"", 'تورضوين', ""''"", 'ومعه', 'سكان', 'الدواوير', 'المجاورة', 'بالجماعة', 'الترابية', 'ستي', 'فاضمة', 'داخل', 'المجال', 'الجغرافي', 'للاقليم', 'الحوز', 'على', 'وقع', 'حادث', 'مروع', 'ذهب', 'ضحيته', 'طفل', 'بالكاد', 'يتلمس', 'ربيعه', 'الثالث', 'واصيب', 'شقيقه', 'الرضيع', 'في', 'شهوره', 'الاولى', 'بحروق', 'بليغة', 'على', 'مستوى', 'رجليه']"
27	17.0	0.4693000018596649	مجموعة, اختبار, خاص, مسار, أعلى, اثن, غرفة, قائد, موضوع, تعزيز	['ورجح', 'شهود', 'عيان', 'ان', 'تكون', 'النيران', 'قد', 'تسربت', 'من', 'المطبخ', 'الى', 'غرفة', 'نوم', 'الطفلان', 'حيث', 'اتت', 'على', 'محتوياتها', 'وتسببت', 'في', 'انهيار', 'سقف', 'الغرفة', 'الطيني']
28	24.0	0.4415999948978424	اجتماعي, كامل, نتيجة, طفل, مدير, نفسية, مقرر, عامة, طاقة, قيام	['وقد', 'اسفر', 'تدخل', 'سكان', 'الدوار', 'من', 'انقاد', 'الرضيع', 'من', 'براثن', 'النيران', 'فيما', 'تمكنت', 'عناصر', 'الوقاية', 'المدنية', 'رغم', 'صعوبة', 'المسالك', 'الطرقية', 'المؤدية', 'الى', 'الدوار', 'الجبلي', 'من', 'انتشال', 'جثة', 'الطفل', 'الاكبر', 'من', 'تحت', 'انقاض', 'السقف', 'المنهار', 'وقد', 'تفحمت', 'بالكامل']
29	25.0	0.2071000039577484	أيام, داخل, تمكن, قريبا, حالية, إعداد, مشاركة, انتقال, مكتب, صفقة	['كما', 'تمكنوا', 'من', 'اخماد', 'ما', 'تبقى', 'من', 'النيران', 'داخل', 'البيت', 'للحيلولة', 'دون', 'تسربها', 'الى', 'البيوت', 'المجاورة']
30	24.0	0.27619999647140503	اجتماعي, كامل, نتيجة, طفل, مدير, نفسية, مقرر, عامة, طاقة, قيام	['وقد', 'استنفر', 'الحادث', 'السلطات', 'الاقليمية', 'والمحلية', 'والدرك', 'حيث', 'انتقل', 'الى', 'عين', 'المكان', 'ممثلين', 'عنها', 'لمعاينة', 'الحادث', 'وفتح', 'تحقيق', 'في', 'اسباب', 'وقوعه']
31	12.0	0.23929999768733978	خدمة, مواقع, بناء, عالمية, تابع, توفر, تنفيذ, سوق, قصور, عادية	['أكدت', 'وزارة', 'الصحة', 'أن', 'تموين', 'السوق', 'بدواء', 'ليفوثيروكس', 'الخاص', 'بعلاج', 'قصور', 'الغدة', 'الدرقية', 'سيعرف', 'استقرارا', 'تدريجيا', 'على', 'المستوى', 'الوطني', 'ابتداء', 'من', 'نهاية', 'يوليوز', 'الجاري']
32	28.0	0.4781999886035919	مادة, تعرف, ثلاثاء, عالمي, مشيرا, وزارة, سنة, حيوية, بلاغ, بديل	['وذكر', 'بلاغ', 'للوزارة', 'اليوم', 'الثلاثاء', 'أن', 'هذه', 'المادة', 'الحيوية', 'المستوردة', 'التي', 'لا', 'تتوفر', 'على', 'بديل', 'علاجي', 'حاليا', 'عرفت', 'انقطاعا', 'مرحليا', 'في', 'المخزون', 'مشيرا', 'إلى', 'أن', 'مديرية', 'الأدوية', 'والصيدلة', 'توصلت', 'بإشعار', 'إنذاري', 'من', 'طرف', 'المؤسسة', 'الصيدلانية', 'المسوقة', 'لهذا', 'الدواء', 'مفاده', 'أن', 'بعض', 'جرعات', 'الدواء', 'تعرف', 'صعوبات', 'في', 'التموين', 'على', 'الصعيد', 'العالمي', 'نظرا', 'لارتفاع', 'الطلب', 'عليها', 'خلال', 'هذه', 'السنة']
